"","stk.name","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"beta1","Gates","14.2974550248","5.62189244977468","3.50651776942274","10.41413705634","14.2016123365762","18.1030575723753","25.633170820328","1.00089362808297","10000"
"beta2","Gates","20.6726047564465","5.81046507581253","9.22962673607348","16.8658202733802","20.5860667100024","24.450403936016","32.2606793175506","1.00118250641241","6500"
"beta3","Gates","18.2299532731625","5.70478546319855","6.93211453304453","14.4330533019089","18.2634687983444","21.956067631999","29.571243464743","1.00121324462207","6000"
"deviance","Gates","-218.055807810072","3.85626474477315","-223.391884258455","-220.873847396983","-218.785441338126","-216.015288005864","-208.688737845883","1.00105651384948","9700"
"sigma","Gates","0.838699949362157","0.096763075327814","0.676087351945344","0.76924357991584","0.829842042510751","0.898308705064025","1.05226940994395","1.00099175969976","10000"
"alpha","Nadina","1.64825247202507","0.254105200763709","1.17254372662576","1.47312307904758","1.64154198230857","1.81036843136162","2.17052960887603","1.0011500472571","7100"
"beta0","Nadina","6.77000107547805","3.61866131709811","1.92665622174072","3.88851095513936","6.11343841437416","8.96463513785105","15.4001069075804","1.001196208388","6300"
"beta1","Nadina","7.00576603359791","4.13244723337306","0.591863145390294","3.78770428694931","6.5874147594516","9.7282334185364","15.9790141866775","1.00089255017651","10000"
"beta2","Nadina","4.17311830104999","3.15522222612481","0.169251582665047","1.69362044807197","3.53183146718742","5.93017376897243","11.8903689981231","1.00149722953656","3600"
"beta3","Nadina","8.08401254099951","4.45696839270532","0.774295111344436","4.71326612170436","7.77888837305823","10.9635454279561","17.6978436303652","1.00090043566897","10000"
"deviance","Nadina","-154.478831339664","3.16955594972728","-158.730851796916","-156.788709294821","-155.146634540073","-152.798277482763","-146.819489046806","1.00100742578161","10000"
"sigma","Nadina","1.04940468574951","0.124290976995756","0.841402162734249","0.962374837886075","1.03671681840583","1.12446439716351","1.33419355540509","1.00085031673811","10000"
"alpha","Upper Pitt","1.98403029129602","0.176129616600355","1.63904829482427","1.86562884886798","1.98481489454817","2.10358775562403","2.33177941027784","1.00089975308314","10000"
"beta0","Upper Pitt","12.6343963420273","4.72228913431587","3.98417985390364","9.21569448552398","12.5225161649373","15.8706307505232","22.086966881067","1.0009749766264","10000"
"beta1","Upper Pitt","6.2837552402245","4.18032885095593","0.332184860342041","2.9881266949072","5.71476935578298","8.9219625740222","15.6207088957079","1.00160285076097","3100"
